plant,disease,area_m2,severity,lat,lon,date
Tomato,Spider Mites,1416,0.15,-1.2915,-79.4668,2025-09-12
Potato,Black Scurf,3127,0.69,-1.0923,-79.3242,2025-10-21
Potato,Common Scab,913,0.32,0.4154,-78.1792,2026-02-03
Tomato,Yellow Leaf Curl Virus,2397,0.28,-0.9844,-77.8268,2025-12-25
Tomato,Spider Mites,1048,0.2,-0.5365,-76.9525,2026-02-17
Potato,Common Scab,3034,0.68,-0.9045,-78.4264,2025-06-06
Potato,Black Scurf,2501,0.48,-1.6694,-78.0735,2026-03-09
Potato,Common Scab,1095,0.97,-0.3848,-76.8039,2025-05-02
Tomato,Late Blight,3243,0.89,-2.8069,-79.0076,2026-02-17
Potato,Early Blight,4317,0.56,-0.9424,-79.2823,2025-07-23
Potato,Black Scurf,1750,0.47,0.1913,-76.7935,2025-07-27
Potato,Black Scurf,2560,0.47,-1.0362,-77.9987,2026-03-10
Potato,Common Scab,2854,0.5,-0.3868,-76.9073,2025-07-22
Tomato,Target Spot,3320,0.23,-1.2602,-77.6511,2025-11-01
Potato,Early Blight,1850,0.29,-1.0267,-79.4249,2025-05-26
Tomato,Leaf Mold,4482,0.91,-1.1704,-79.3364,2025-07-04
Tomato,Bacterial Spot,299,0.66,-1.5793,-78.6632,2026-03-13
Tomato,Bacterial Spot,2108,0.67,0.287,-78.1273,2026-01-31
Tomato,Bacterial Spot,3600,0.26,-0.137,-78.2407,2025-10-06
Tomato,Target Spot,1591,0.74,-1.0013,-79.4565,2025-07-27
Tomato,Spider Mites,2625,0.96,-0.8752,-78.5656,2025-06-15
Potato,Black Scurf,1999,0.3,-1.5493,-77.9598,2025-07-24
Potato,Early Blight,2851,0.88,-1.1259,-79.3842,2025-06-24
Tomato,Septoria Leaf Spot,2449,0.42,-1.3551,-78.0327,2025-11-01
Tomato,Septoria Leaf Spot,4673,0.99,-1.0701,-77.8409,2025-12-21
Tomato,Yellow Leaf Curl Virus,1827,0.29,0.3669,-78.217,2025-10-28
Tomato,Spider Mites,725,0.84,-1.1863,-78.5698,2025-08-08
Tomato,Target Spot,115,0.57,0.2909,-78.1947,2025-11-28
Tomato,Yellow Leaf Curl Virus,1883,0.38,-1.0298,-80.4906,2025-12-26
Potato,Common Scab,3735,0.91,-1.7797,-78.6906,2025-05-02
Potato,Early Blight,4286,0.52,-1.778,-78.5815,2025-10-09
Tomato,Bacterial Spot,1746,0.92,0.2035,-76.6486,2026-01-29
Potato,Early Blight,4042,0.24,-1.115,-79.426,2025-10-26
Tomato,Bacterial Spot,2930,0.31,-1.0555,-78.0649,2025-06-28
Potato,Common Scab,355,0.78,-1.2378,-77.9959,2025-04-25
Potato,Black Scurf,353,0.38,-1.5512,-78.8691,2025-04-01
Tomato,Bacterial Spot,3370,0.3,-0.9597,-78.7307,2026-01-26
Potato,Early Blight,470,0.48,-0.9691,-77.7614,2025-06-04
Potato,Common Scab,4906,0.93,-2.4186,-78.0421,2025-04-14
Tomato,Target Spot,1548,0.54,-0.1689,-78.4826,2025-08-01
Tomato,Spider Mites,1755,0.45,0.2523,-78.0584,2025-07-31
Tomato,Yellow Leaf Curl Virus,3505,0.42,0.4286,-78.0,2025-09-30
Potato,Early Blight,2993,0.13,-4.121,-79.088,2025-08-14
Potato,Early Blight,974,0.13,-4.1132,-79.0801,2025-08-13
Potato,Common Scab,1153,0.96,-1.3822,-78.6543,2025-06-11
Potato,Early Blight,4658,0.68,-0.3781,-76.8931,2025-05-21
Tomato,Yellow Leaf Curl Virus,3118,0.93,-1.1002,-79.4276,2025-06-23
Potato,Black Scurf,2461,0.73,-1.056,-78.5497,2025-07-18
Potato,Black Scurf,4676,0.62,-0.7551,-78.7579,2025-10-30
Potato,Late Blight,917,0.38,0.3579,-78.0673,2025-11-24
Tomato,Spider Mites,3538,0.2,-2.9068,-78.7754,2026-03-14
Potato,Common Scab,4368,0.36,-1.0608,-80.3047,2026-02-03
Potato,Late Blight,1834,0.8,-4.195,-79.2794,2025-09-01
Tomato,Target Spot,1283,0.82,-0.2946,-76.9253,2026-02-26
Tomato,Yellow Leaf Curl Virus,4049,0.84,-1.4816,-78.1669,2026-02-01
Tomato,Target Spot,4829,0.54,-0.2711,-78.3937,2025-05-18
Potato,Black Scurf,2237,0.46,-2.9181,-78.905,2025-06-16
Tomato,Bacterial Spot,4495,0.29,-1.7984,-78.6981,2025-10-13
